"Dim1","Dim2","Clase","Perp"
-13.5203126210194,0.181387976123233,"No potable","Perplexity = 30"
1.45845466023463,-19.2893622132153,"No potable","Perplexity = 30"
-14.0844340234635,17.4844001015603,"No potable","Perplexity = 30"
-13.6768611338506,22.9288829407457,"No potable","Perplexity = 30"
-11.7545558083369,-10.6680459018791,"No potable","Perplexity = 30"
-9.21297267465977,-8.54202973243414,"No potable","Perplexity = 30"
-2.20211069146722,18.6473279895461,"No potable","Perplexity = 30"
7.21686468861173,16.9551539495482,"No potable","Perplexity = 30"
7.71708891140337,-18.8062230549723,"No potable","Perplexity = 30"
-19.2503193881448,17.8797706537092,"No potable","Perplexity = 30"
14.8354736510147,-13.9176337932078,"No potable","Perplexity = 30"
-4.54145577727994,9.57350554102422,"No potable","Perplexity = 30"
7.02998226204076,-16.4450794823663,"No potable","Perplexity = 30"
11.5865686021176,-17.7711618088215,"No potable","Perplexity = 30"
11.3051625954955,14.0111329899994,"No potable","Perplexity = 30"
18.7483843039218,-17.0504653620912,"No potable","Perplexity = 30"
2.03414201640474,6.34550802609289,"No potable","Perplexity = 30"
-9.77407695433726,27.409044336104,"No potable","Perplexity = 30"
-5.07998153877024,19.9145512189241,"No potable","Perplexity = 30"
-8.88447056400706,3.74227706770549,"No potable","Perplexity = 30"
2.12260286758286,-1.49815201272632,"No potable","Perplexity = 30"
23.8162079532738,-13.7598345233094,"No potable","Perplexity = 30"
9.58802518553168,14.1637676320756,"No potable","Perplexity = 30"
18.3693176825597,-1.73813775515776,"No potable","Perplexity = 30"
1.94785942780695,-23.9032983214906,"No potable","Perplexity = 30"
15.684464336417,8.0438844446973,"No potable","Perplexity = 30"
18.0385800644907,-6.44514917334484,"No potable","Perplexity = 30"
6.92011317184556,-8.58740485627086,"No potable","Perplexity = 30"
-21.6343322594156,-3.82207322560027,"No potable","Perplexity = 30"
3.22589763907669,-21.1623889585533,"No potable","Perplexity = 30"
17.0576872490211,6.06609074189714,"No potable","Perplexity = 30"
-21.3893014330062,16.9684143237762,"No potable","Perplexity = 30"
-4.1044025907152,-23.3802377359653,"No potable","Perplexity = 30"
-21.0839987638414,-4.1603826987089,"No potable","Perplexity = 30"
13.3271650190951,17.4287149514847,"No potable","Perplexity = 30"
9.38900020062508,-2.96299506417137,"No potable","Perplexity = 30"
20.2180915774655,-3.37811766195376,"No potable","Perplexity = 30"
-5.55331926528138,18.8805464741855,"No potable","Perplexity = 30"
-3.7318988256223,-15.2072535973475,"No potable","Perplexity = 30"
0.572747837866315,13.2218349368586,"No potable","Perplexity = 30"
2.4003175140125,14.4222949314343,"No potable","Perplexity = 30"
15.0729093081524,0.0110619864016832,"No potable","Perplexity = 30"
1.4726782480497,0.736519305237125,"No potable","Perplexity = 30"
-16.0711088912731,22.069933955692,"No potable","Perplexity = 30"
8.94486979165795,-11.4281825337085,"No potable","Perplexity = 30"
